Date;Game;N_players;N_cards;N_Random_cards;Round;Judge;Winner;Notes
12-juin;1;4;10;1;1;Player 2;Player 1;
12-juin;1;4;10;1;2;Player 1;Player 2;
12-juin;1;4;10;1;3;Player 3;Player 4;
12-juin;1;4;10;1;4;Player 4;Player 1;
12-juin;1;4;10;1;5;Player 2;Player 4;
12-juin;1;4;10;1;6;Player 1;Player 2;
12-juin;1;4;10;1;7;Player 3;Player 1;
12-juin;1;4;10;1;8;Player 4;Player 3;
12-juin;1;4;10;1;9;Player 2;Player 3;
12-juin;1;4;10;1;10;Player 1;Player 4;
12-juin;1;4;10;1;11;Player 3;Player 4;
12-juin;1;4;10;1;12;Player 4;Random;
12-juin;1;4;10;1;13;Player 2;;
12-juin;1;4;10;1;14;Player 1;Player 2;
12-juin;1;4;10;1;15;Player 3;Random;
12-juin;1;4;10;1;16;Player 4;Player 1;
12-juin;1;4;10;1;17;Player 2;Player 1;
12-juin;1;4;10;1;18;Player 1;Random;Debated_player2_interfered
12-juin;1;4;10;1;19;Player 3;Player 1;
12-juin;1;4;10;1;20;Player 4;Random;
12-juin;1;4;10;1;21;Player 2;Random;
12-juin;1;4;10;1;22;Player 1;Player 2;
12-juin;1;4;10;1;23;Player 3;Player 4;
12-juin;1;4;10;1;24;Player 4;Player 2;Round_redone_player3_OG_winner
12-juin;1;4;10;1;25;Player 2;Random;
12-juin;1;4;10;1;26;Player 1;Player 3;
12-juin;1;4;10;1;27;Player 3;;
12-juin;1;4;10;1;28;Player 4;;
12-juin;1;4;10;1;29;Player 2;;
12-juin;1;4;10;1;30;Player 1;Player 3;
12-juin;1;4;10;1;31;Player 3;Player 4;
12-juin;1;4;10;1;32;Player 4;;
12-juin;1;4;10;1;33;Player 2;Player 3;
12-juin;1;4;10;1;34;Player 1;Player 3;
12-juin;1;4;10;1;35;Player 3;Random;
